user_id,user_name,persona,age,fitness_goal,experience_level,injury_constraint,exercise_id,exercise_name,bodyPart,equipment,target_muscle,rating,bodyPart_icon,equipment_icon,persona_icon,injury_icon
U0153,Fatima Hernandez,low_stress,20.0,endurance,beginner,none,589,lever one arm bent over row ,back,barbell,upper back,4.0,🏋️,🏋️‍♂️,🟢,✅
U0211,Jennifer Rivera,moderate_stress,32.0,general_fitness,intermediate,back_pain,1269,cable standing up straight crossovers,chest,cable,pectorals,4.0,💪,🔗,🟡,🔻⚠️
U0370,Arjun Harris,high_stress_low_support,50.0,general_fitness,beginner,back_pain,1323,cable rope seated row,back,cable,upper back,3.0,🏋️,🔗,🔴,🔻⚠️
U0436,Mark Jones,low_stress,,muscle_gain,advanced,none,410,dumbbell single leg split squat,upper legs,dumbbell,quads,5.0,🦵,🏋️,🟢,✅
U0005,Lisa Rodriguez,low_stress,,muscle_gain,intermediate,back_pain,28,barbell clean and press,upper legs,barbell,quads,4.0,🦵,🏋️‍♂️,🟢,🔻⚠️
U0137,Olivia Jones,high_stress_low_support,24.0,general_fitness,beginner,none,3294,archer push up,chest,BODY WEIGHT,pectorals,5.0,💪,🧍,🔴,✅
U0336,Andrew Adams,moderate_stress,23.0,mobility,advanced,none,1651,dumbbell bicep curl lunge with bowling motion,upper arms,dumbbell,biceps,3.0,💪,🏋️,🟡,✅
U0301,Carlos King,high_stress_low_support,,general_fitness,beginner,none,1451,lever seated dip,upper arms,leverage machine,triceps,4.0,💪,⚙️,🔴,✅
U0429,Michelle Sanchez,low_stress,25.0,fat_loss,intermediate,none,990,band one arm twisting seated row,back,band,upper back,4.0,🏋️,➰,🟢,✅
U0053,Steven Martin,high_stress_low_support,,endurance,beginner,none,613,lying (side) quads stretch,upper legs,body weight,quads,5.0,🦵,🧍,🔴,✅
U0300,Michelle Carter,moderate_stress,39.0,muscle_gain,beginner,none,80,barbell reverse curl,upper arms,barbell,biceps,5.0,💪,🏋️‍♂️,🟡,✅
U0188,Joseph White,low_stress,35.0,endurance,advanced,none,1384,hack one leg calf raise,lower legs,sled machine,calves,5.0,🦿,⚙️,🟢,✅
U0021,Carlos Lopez,high_stress_low_support,54.0,muscle_gain,advanced,none,2208,roller back stretch,back,roller,spine,3.0,🏋️,🌀,🔴,✅
U0291,Aiden Hill,high_stress_low_support,42.0,fat_loss,beginner,knee_pain,378,dumbbell rear fly,shoulders,dumbbell,delts,3.0,🤸,🏋️,🔴,🦵⚠️
U0138,James Nelson,moderate_stress,44.0,fat_loss,beginner,shoulder_injury,238,cable straight arm pulldown,back,cable,lats,2.0,🏋️,🔗,🟡,🤕
U0136,Deborah Rivera,low_stress,40.0,muscle_gain,beginner,none,1341,exercise ball lower back stretch (pyramid),Back,stability ball,lats,5.0,🏋️,🏐,🟢,✅
U0291,Aiden Hill,high_stress_low_support,42.0,fat_loss,beginner,knee_pain,978,band front raise,shoulders,band,delts,3.0,🤸,➰,🔴,🦵⚠️
U0199,Linda Wilson,low_stress,33.0,  mobility  ,beginner,shoulder_injury,1429,wide grip pull-up,back,body weight,lats,4.0,🏋️,🧍,🟢,🤕
U0279,Linda Scott,high_stress_low_support,30.0,muscle_gain,advanced,none,1305,medicine ball chest push single response,chest,medicine ball,pectorals,5.0,💪,🏐,🔴,✅
U0335,Mark Williams,low_stress,35.0,endurance,advanced,none,498,inverted row with straps,back,body weight,upper back,3.0,🏋️,🧍,🟢,✅
U0157,Fatima Hall,low_stress,53.0,muscle_gain,beginner,none,1258,barbell wide reverse grip bench press,chest,barbell,pectorals,4.0,💪,🏋️‍♂️,🟢,✅
U0052,Mark Smith,low_stress,,fat_loss,  beginner  ,none,1374,box jump down with one leg stabilization,lower legs,body weight,calves,4.0,🦿,🧍,🟢,✅
U0120,Donna King,moderate_stress,59.0,endurance,advanced,none,80,barbell reverse curl,upper arms,barbell,biceps,3.0,💪,🏋️‍♂️,🟡,✅
U0404,Elizabeth Miller,low_stress,28.0,fat_loss,beginner,none,16,assisted prone hamstring,upper legs,assisted,hamstrings,5.0,🦵,🤝,🟢,✅
U0058,Jennifer Wilson,moderate_stress,50.0,general_fitness,beginner,none,1272,chest stretch with exercise ball,chest,stability ball,pectorals,5.0,💪,🏐,🟡,✅
U0470,Diego Carter,moderate_stress,24.0,muscle_gain,beginner,none,814,triceps dip,upper arms,body weight,triceps,5.0,💪,🧍,🟡,✅
U0189,Ashley Hernandez,moderate_stress,57.0,endurance,beginner,none,1295,dumbbell pullover on exercise ball,chest,dumbbell,pectorals,4.0,💪,🏋️,🟡,✅
U0098,Carol Ramirez,low_stress,48.0,  general_fitness  ,intermediate,none,767,smith shrug,back,smith machine,traps,5.0,🏋️,⚙️,🟢,✅
U0010,Ingrid Hall,moderate_stress,,  endurance  ,beginner,knee_pain,1294,dumbbell pullover hip extension on exercise ball,chest,DUMBBELL,pectorals,4.0,💪,🏋️,🟡,🦵⚠️
U0418,Patricia Smith,high_stress_low_support,38.0,endurance,intermediate,knee_pain,757,smith incline bench press,chest,smith machine,pectorals,3.0,💪,⚙️,🔴,🦵⚠️
U0480,John Martin,low_stress,51.0,endurance,beginner,none,1649,dumbbell alternating bicep curl with leg raised on exercise ball,upper arms,dumbbell,biceps,3.0,💪,🏋️,🟢,✅
U0342,Paul Anderson,high_stress_low_support,22.0,muscle_gain,intermediate,none,675,reverse hyper extension (on stability ball),upper legs,stability ball,glutes,5.0,🦵,🏐,🔴,✅
U0434,Sofia Hall,high_stress_low_support,58.0,endurance,beginner,back_pain,746,smith back shrug,back,smith machine,traps,1.0,🏋️,⚙️,🔴,🔻⚠️
U0138,James Nelson,moderate_stress,44.0,fat_loss,beginner,shoulder_injury,2796,dumbbell step-up lunge,upper legs,dumbbell,quads,5.0,🦵,🏋️,🟡,🤕
U0380,Ethan Flores,moderate_stress,22.0,endurance,beginner,none,453,ez barbell seated triceps extension,upper arms,ez barbell,triceps,3.0,💪,🏋️‍♂️,🟡,✅
U0016,William Young,low_stress,57.0,mobility,beginner,none,862,cable twist (up-down),waist,cable,abs,5.0,🧘,🔗,🟢,✅
U0390,James Perez,high_stress_low_support,36.0,MOBILITY,beginner,none,1389,posterior tibialis stretch,lower legs,rope,calves,3.0,🦿,🪢,🔴,✅
U0423,Robert Walker,low_stress,52.0,  endurance  ,beginner,none,805,suspended abdominal fallout,waist,body weight,abs,3.0,🧘,🧍,🟢,✅
U0296,Stephanie Martin,high_stress_low_support,,Endurance,beginner,none,742,sled forward angled calf raise,lower legs,Sled Machine,calves,5.0,🦿,⚙️,🔴,✅
U0139,Richard Davis,high_stress_low_support,,general_fitness,beginner,none,1719,barbell incline close grip bench press,upper arms,barbell,triceps,4.0,💪,🏋️‍♂️,🔴,✅
U0198,Mary Rodriguez,high_stress_low_support,24.0,mobility,intermediate,back_pain,2321,dumbbell standing inner biceps curl v. 2,upper arms,dumbbell,biceps,4.0,💪,🏋️,🔴,🔻⚠️
U0303,Mary Clark,moderate_stress,37.0,general_fitness,intermediate,none,3161,bodyweight standing one arm row (with towel),  back  ,,upper back,5.0,🏋️,🧍,🟡,✅
U0304,Robert Jones,moderate_stress,28.0,mobility,beginner,knee_pain,210,cable reverse wrist curl,lower arms,cable,forearms,3.0,🤜,🔗,🟡,🦵⚠️
U0320,Richard Flores,high_stress_low_support,30.0,fat_loss,advanced,none,426,dumbbell standing overhead press,shoulders,dumbbell,delts,4.0,🤸,🏋️,🔴,✅
U0392,Joshua Jackson,low_stress,28.0,endurance,intermediate,knee_pain,3313,weighted straight bar dip,chest,weighted,pectorals,3.0,💪,🏋️,🟢,🦵⚠️
U0180,Deborah Wilson,moderate_stress,,muscle_gain,beginner,none,1426,smith seated wrist curl,lower arms,smith machine,forearms,2.0,🤜,⚙️,🟡,✅
U0399,Kimberly Wright,moderate_stress,49.0,Muscle_Gain,intermediate,none,3201,quarter sit-up,waist,body weight,abs,4.0,🧘,🧍,🟡,✅
U0444,Ava Clark,low_stress,19.0,endurance,BEGINNER,none,3644,weighted lunge with swing,upper legs,weighted,glutes,4.0,🦵,🏋️,🟢,✅
U0026,Betty Smith,low_stress,,muscle_gain,beginner,none,360,dumbbell one arm shoulder press v. 2,shoulders,dumbbell,delts,5.0,🤸,🏋️,🟢,✅
U0293,Karen Torres,high_stress_low_support,32.0,endurance,intermediate,none,354,dumbbell one arm kickback,upper arms,dumbbell,triceps,3.0,💪,🏋️,🔴,✅
U0478,Donald Roberts,moderate_stress,,fat_loss,advanced,shoulder_injury,738,sled 45в° calf press,lower legs,sled machine,calves,3.0,🦿,⚙️,🟡,🤕
U0251,Karen Hernandez,moderate_stress,57.0,fat_loss,beginner,none,1434,smith low bar squat,upper legs,smith machine,glutes,4.0,🦵,⚙️,🟡,✅
U0099,Paul Perez,low_stress,53.0,muscle_gain,advanced,back_pain,3234,hyght dumbbell fly,  chest  ,dumbbell,pectorals,5.0,💪,🏋️,🟢,🔻⚠️
U0153,Fatima Hernandez,low_stress,20.0,endurance,beginner,none,3679,sit-up with arms on chest,waist,body weight,abs,3.0,🧘,🧍,🟢,✅
U0188,Joseph White,low_stress,35.0,endurance,advanced,none,1472,forward jump,upper legs,body weight,quads,5.0,🦵,🧍,🟢,✅
U0238,Karen Brown,high_stress_low_support,,muscle_gain,beginner,none,1738,dumbbell seated reverse grip one arm overhead tricep extension,upper arms,dumbbell,triceps,5.0,💪,🏋️,🔴,✅
U0320,Richard Flores,high_stress_low_support,30.0,fat_loss,advanced,none,631,muscle up,back,body weight,lats,4.0,🏋️,🧍,🔴,✅
U0307,Mary Mitchell,low_stress,18.0,fat_loss,intermediate,none,664,push-up to side plank,waist,body weight,abs,5.0,🧘,🧍,🟢,✅
U0370,Arjun Harris,high_stress_low_support,50.0,general_fitness,beginner,back_pain,30,barbell close-grip bench press,upper arms,Barbell,triceps,4.0,💪,🏋️‍♂️,🔴,🔻⚠️
U0015,Donald Nguyen,low_stress,28.0,endurance,beginner,back_pain,1582,reclining big toe pose with rope,upper legs,rope,hamstrings,5.0,🦵,🪢,🟢,🔻⚠️
U0402,Sandra Scott,high_stress_low_support,40.0,fat_loss,beginner,none,449,ez barbell incline triceps extension,upper arms,ez barbell,triceps,2.0,💪,🏋️‍♂️,🔴,✅
U0112,Amanda Jackson,low_stress,24.0,fat_loss,beginner,knee_pain,2331,cycle cross trainer,cardio,leverage machine,cardiovascular system,4.0,🏃,⚙️,🟢,🦵⚠️
U0139,Richard Davis,high_stress_low_support,25.0,general_fitness,beginner,none,224,cable standing back wrist curl,  lower arms  ,cable,forearms,4.0,🤜,🔗,🔴,✅
U0156,Amanda Miller,moderate_stress,27.0,endurance,beginner,none,2317,dumbbell seated bent arm lateral raise,shoulders,dumbbell,delts,4.0,🤸,🏋️,🟡,✅
U0245,Ronald Ramirez,moderate_stress,26.0,mobility,beginner,knee_pain,1671,dumbbell one arm standing hammer curl,upper arms,dumbbell,biceps,3.0,💪,🏋️,🟡,🦵⚠️
U0466,Richard Gonzalez,moderate_stress,49.0,muscle_gain,intermediate,none,3234,hyght dumbbell fly,chest,dumbbell,pectorals,5.0,💪,🏋️,🟡,✅
U0473,Charles Miller,low_stress,46.0,endurance,beginner,knee_pain,322,dumbbell incline inner biceps curl,upper arms,Dumbbell,biceps,3.0,💪,🏋️,🟢,🦵⚠️
U0346,Mark Robinson,high_stress_low_support,43.0,mobility,intermediate,none,3314,straddle maltese,waist,body weight,abs,5.0,🧘,🧍,🔴,✅
U0077,David Nguyen,low_stress,41.0,general_fitness,intermediate,back_pain,399,dumbbell seated one arm rotate,  lower arms  ,dumbbell,forearms,5.0,🤜,🏋️,🟢,🔻⚠️
U0106,Wei Wright,moderate_stress,55.0,muscle_gain,intermediate,none,1736,dumbbell one arm french press on exercise ball,upper arms,dumbbell,triceps,5.0,💪,🏋️,🟡,✅
U0330,Wei Williams,low_stress,59.0,fat_loss,beginner,none,339,dumbbell lying femoral,upper legs,dumbbell,hamstrings,4.0,🦵,🏋️,🟢,✅
U0363,Emily Rivera,low_stress,53.0,fat_loss,intermediate,shoulder_injury,419,dumbbell standing front raise above head,shoulders,dumbbell,delts,2.0,🤸,🏋️,🟢,🤕
U0015,Donald Nguyen,low_stress,,endurance,beginner,back_pain,528,kettlebell double push press,shoulders,kettlebell,delts,4.0,🤸,🔔,🟢,🔻⚠️
U0331,Kenneth Wilson,moderate_stress,32.0,endurance,intermediate,none,788,standing behind neck press,shoulders,barbell,delts,4.0,🤸,🏋️‍♂️,🟡,✅
U0440,Margaret Moore,moderate_stress,26.0,mobility,advanced,none,1559,exercise ball hip flexor stretch,upper legs,stability ball,glutes,4.0,🦵,🏐,🟡,✅
U0437,James Thomas,low_stress,,endurance,beginner,none,1657,dumbbell cross body hammer curl v. 2,upper arms,dumbbell,biceps,3.0,💪,🏋️,🟢,✅
U0490,John Young,moderate_stress,56.0,endurance,beginner,none,1345,kettlebell two arm row,back,KETTLEBELL,upper back,4.0,🏋️,🔔,🟡,✅
U0283,Betty Perez,low_stress,18.0,fat_loss,beginner,none,1647,dumbbell alternate preacher curl,upper arms,dumbbell,biceps,4.0,💪,🏋️,🟢,✅
U0034,Susan Baker,low_stress,25.0,fat_loss,advanced,knee_pain,429,dumbbell standing reverse curl,upper arms,dumbbell,biceps,3.0,💪,🏋️,🟢,🦵⚠️
U0391,Deborah Campbell,moderate_stress,25.0,fat_loss,advanced,none,813,triceps dip (between benches),upper arms,body weight,triceps,5.0,💪,🧍,🟡,✅
U0292,Elizabeth Davis,low_stress,55.0,mobility,intermediate,none,1426,smith seated wrist curl,lower arms,smith machine,forearms,4.0,🤜,⚙️,🟢,✅
U0404,Elizabeth Miller,low_stress,28.0,fat_loss,beginner,none,3,air bike,waist,body weight,abs,5.0,🧘,🧍,🟢,✅
U0140,Ava Rodriguez,low_stress,29.0,endurance,intermediate,knee_pain,2616,cable lateral pulldown with v-bar,back,CABLE,lats,4.0,🏋️,🔗,🟢,🦵⚠️
U0447,Ingrid Lewis,high_stress_low_support,24.0,mobility,advanced,none,1653,dumbbell bicep curl with stork stance,upper arms,dumbbell,biceps,4.0,💪,🏋️,🔴,✅
U0176,Wei Ramirez,low_stress,59.0,fat_loss,intermediate,shoulder_injury,1755,weighted tricep dips,upper arms,weighted,triceps,1.0,💪,🏋️,🟢,🤕
U0310,David Adams,low_stress,58.0,mobility,advanced,,1476,one leg squat,upper legs,body weight,glutes,5.0,🦵,🧍,🟢,✅
U0185,Mohammed Campbell,high_stress_low_support,33.0,endurance,beginner,none,324,dumbbell incline palm-in press,chest,dumbbell,pectorals,4.0,💪,🏋️,🔴,✅
U0443,Emily Lopez,moderate_stress,54.0,mobility,beginner,none,1283,dumbbell incline press on exercise ball,  chest  ,dumbbell,pectorals,4.0,💪,🏋️,🟡,✅
U0067,Sandra Young,moderate_stress,,mobility,beginner,none,1401,muscle-up (on vertical bar),back,body weight,lats,4.0,🏋️,🧍,🟡,✅
U0163,Deborah Hill,low_stress,25.0,mobility,intermediate,back_pain,795,standing single leg curl,upper legs,body weight,hamstrings,4.0,🦵,🧍,🟢,🔻⚠️
U0266,Charles Rivera,low_stress,57.0,muscle_gain,intermediate,none,1255,barbell decline pullover,chest,barbell,pectorals,5.0,💪,🏋️‍♂️,🟢,✅
U0250,Susan Mitchell,low_stress,48.0,mobility,advanced,none,406,dumbbell shrug,back,dumbbell,traps,3.0,🏋️,🏋️,🟢,✅
U0048,Priya Johnson,low_stress,53.0,general_fitness,intermediate,knee_pain,2705,dumbbell lying pronation on floor,lower arms,dumbbell,forearms,4.0,🤜,🏋️,🟢,🦵⚠️
U0341,James Moore,low_stress,35.0,endurance,beginner,none,1459,dumbbell romanian deadlift,upper legs,dumbbell,glutes,3.0,🦵,🏋️,🟢,✅
U0140,Ava Rodriguez,low_stress,29.0,endurance,intermediate,knee_pain,165,cable hammer curl (with rope),upper arms,cable,biceps,3.0,💪,🔗,🟢,🦵⚠️
U0068,Kenneth Mitchell,low_stress,,general_fitness,intermediate,none,274,crunch floor,waist,body weight,abs,5.0,🧘,🧍,🟢,✅
U0115,Ashley Ramirez,low_stress,,muscle_gain,advanced,back_pain,758,smith incline reverse-grip press,chest,smith machine,pectorals,4.0,💪,⚙️,🟢,🔻⚠️
U0340,Yuki Torres,high_stress_low_support,41.0,endurance,beginner,knee_pain,126,barbell wrist curl,lower arms,barbell,forearms,2.0,🤜,🏋️‍♂️,🔴,🦵⚠️
U0351,Susan Torres,moderate_stress,21.0,muscle_gain,intermediate,none,1361,smith reverse grip bent over row,back,smith machine,upper back,3.0,🏋️,⚙️,🟡,✅
U0287,Patricia Perez,low_stress,26.0,mobility,beginner,none,3021,scapula push-up,chest,body weight,serratus anterior,4.0,💪,🧍,🟢,✅
U0378,Ashley Mitchell,low_stress,55.0,general_fitness,advanced,none,549,kettlebell swing,upper legs,kettlebell,glutes,5.0,🦵,🔔,🟢,✅
U0358,Nancy Lee,high_stress_low_support,42.0,muscle_gain,beginner,none,2204,roller body saw,waist,  roller  ,abs,4.0,🧘,🌀,🔴,✅
U0027,William White,moderate_stress,31.0,muscle_gain,ADVANCED,none,230,cable standing lift,waist,cable,abs,3.0,🧘,🔗,🟡,✅
U0080,Paul Smith,high_stress_low_support,43.0,mobility,beginner,back_pain,1259,behind head chest stretch,chest,assisted,pectorals,3.0,💪,🤝,🔴,🔻⚠️
U0353,Melissa Harris,moderate_stress,37.0,ENDURANCE,beginner,none,980,band bent-over hip extension,upper legs,band,glutes,4.0,🦵,➰,🟡,✅
U0150,Kimberly Allen,low_stress,53.0,mobility,advanced,back_pain,1625,smith machine decline close grip bench press,upper arms,smith machine,triceps,4.0,💪,⚙️,🟢,🔻⚠️
U0379,Sofia Baker,low_stress,48.0,endurance,intermediate,none,750,smith chair squat,upper legs,smith machine,quads,5.0,🦵,⚙️,🟢,✅
U0367,James Lee,high_stress_low_support,22.0,  fat_loss  ,beginner,shoulder_injury,3542,dumbbell incline t-raise,shoulders,dumbbell,delts,2.0,🤸,🏋️,🔴,🤕
U0253,Kevin Davis,moderate_stress,44.0,muscle_gain,beginner,back_pain,356,dumbbell one arm lateral raise with support,shoulders,dumbbell,delts,5.0,🤸,🏋️,🟡,🔻⚠️
U0197,Charles Thomas,moderate_stress,37.0,general_fitness,beginner,none,237,cable straight arm pulldown (with rope),back,cable,lats,4.0,🏋️,🔗,🟡,✅
U0215,Emily White,moderate_stress,45.0,muscle_gain,beginner,none,333,dumbbell kickback,upper arms,dumbbell,triceps,5.0,💪,🏋️,🟡,✅
U0296,Stephanie Martin,high_stress_low_support,26.0,endurance,beginner,none,83,barbell rollerout from bench,waist,barbell,abs,2.0,🧘,🏋️‍♂️,🔴,✅
U0288,Steven Moore,low_stress,22.0,fat_loss,beginner,knee_pain,1322,cable rope extension incline bench row,back,cable,upper back,3.0,🏋️,🔗,🟢,🦵⚠️
U0140,Ava Rodriguez,low_stress,29.0,endurance,intermediate,knee_pain,577,lever chest press,chest,leverage machine,pectorals,4.0,💪,⚙️,🟢,🦵⚠️
U0295,Aiden Campbell,high_stress_low_support,38.0,mobility,beginner,shoulder_injury,589,lever one arm bent over row ,back,barbell,upper back,1.0,🏋️,🏋️‍♂️,🔴,🤕
U0019,Aisha Flores,high_stress_low_support,,muscle_gain,beginner,none,1678,dumbbell seated hammer curl,upper arms,dumbbell,biceps,5.0,💪,🏋️,🔴,✅
U0461,Sarah Lopez,moderate_stress,53.0,general_fitness,intermediate,none,1012,band twisting overhead press,shoulders,band,delts,5.0,🤸,➰,🟡,✅
U0084,Daniel Nelson,low_stress,,endurance,intermediate,none,1669,dumbbell one arm seated hammer curl,upper arms,dumbbell,biceps,4.0,💪,🏋️,🟢,✅
U0384,George Jones,moderate_stress,53.0,mobility,advanced,knee_pain,971,band assisted wheel rollerout,waist,band,abs,5.0,🧘,➰,🟡,🦵⚠️
U0315,Brian Scott,low_stress,55.0,mobility,beginner,back_pain,1420,kneeling jump squat,upper legs,barbell,glutes,5.0,🦵,🏋️‍♂️,🟢,🔻⚠️
U0414,Jennifer Hall,high_stress_low_support,50.0,general_fitness,advanced,none,454,ez barbell spider curl,upper arms,ez barbell,biceps,5.0,💪,🏋️‍♂️,🔴,✅
U0129,Charles Lopez,low_stress,34.0,endurance,intermediate,none,303,dumbbell decline hammer press,chest,dumbbell,pectorals,3.0,💪,🏋️,🟢,✅
U0399,Kimberly Wright,moderate_stress,,muscle_gain,intermediate,none,685,run,cardio,body weight,cardiovascular system,4.0,🏃,🧍,🟡,✅
U0404,Elizabeth Miller,low_stress,28.0,fat_loss,beginner,none,1396,smith toe raise,lower legs,smith machine,calves,3.0,🦿,⚙️,🟢,✅
U0294,Joseph Hernandez,low_stress,29.0,muscle_gain,beginner,knee_pain,1419,iron cross stretch,upper legs,body weight,glutes,4.0,🦵,🧍,🟢,🦵⚠️
U0424,Amanda Roberts,low_stress,36.0,general_fitness,BEGINNER,none,1287,dumbbell one arm decline chest press,chest,dumbbell,pectorals,5.0,💪,🏋️,🟢,✅
U0335,Mark Williams,low_stress,35.0,endurance,advanced,none,210,cable reverse wrist curl,lower arms,cable,forearms,3.0,🤜,🔗,🟢,✅
U0276,Ronald Hall,low_stress,23.0,general_fitness,beginner,none,216,cable seated shoulder internal rotation,shoulders,cable,delts,4.0,🤸,🔗,🟢,✅
U0383,Fatima Sanchez,high_stress_low_support,25.0,fat_loss,intermediate,none,101,barbell speed squat,upper legs,barbell,glutes,4.0,🦵,🏋️‍♂️,🔴,✅
U0002,Carol Williams,low_stress,,general_fitness,beginner,shoulder_injury,157,cable deadlift,upper legs,cable,glutes,4.0,🦵,🔗,🟢,🤕
U0158,David Anderson,moderate_stress,54.0,mobility,beginner,back_pain,858,wind sprints,waist,body weight,abs,4.0,🧘,🧍,🟡,🔻⚠️
U0396,Elizabeth Hall,moderate_stress,53.0,  endurance  ,beginner,none,2136,dumbbell cuban press v. 2,shoulders,dumbbell,delts,3.0,🤸,🏋️,🟡,✅
U0028,Jennifer Torres,low_stress,23.0,fat_loss,beginner,none,1468,crab twist toe touch,waist,body weight,abs,5.0,🧘,🧍,🟢,✅
U0467,Aiden Carter,moderate_stress,33.0,general_fitness,beginner,knee_pain,3167,bodyweight squatting row (with towel),back,body weight,upper back,4.0,🏋️,🧍,🟡,🦵⚠️
U0340,Yuki Torres,high_stress_low_support,41.0,endurance,beginner,knee_pain,222,cable side bend,waist,cable,abs,2.0,🧘,🔗,🔴,🦵⚠️
U0381,Ava Rivera,moderate_stress,34.0,mobility,Beginner,none,184,cable lying extension pullover (with rope attachment),back,cable,lats,3.0,🏋️,🔗,🟡,✅
U0378,Ashley Mitchell,low_stress,55.0,general_fitness,advanced,none,1701,medicine ball close grip push up,upper arms,medicine ball,triceps,5.0,💪,🏐,🟢,✅
U0428,Linda Lopez,high_stress_low_support,23.0,mobility,beginner,knee_pain,241,cable triceps pushdown (v-bar),upper arms,cable,triceps,3.0,💪,🔗,🔴,🦵⚠️
U0453,Richard Thompson,moderate_stress,21.0,muscle_gain,advanced,knee_pain,494,incline reverse grip push-up,chest,body weight,pectorals,5.0,💪,🧍,🟡,🦵⚠️
U0447,Ingrid Lewis,high_stress_low_support,24.0,mobility,advanced,none,257,circles knee stretch,lower legs,body weight,calves,3.0,🦿,🧍,🔴,✅
